ip_location,create_time,content,Topic,sentiment,Representation,Representative_Docs,theory,theme
Jiangsu,2023-2-2 1:10,我倒要看看接下来还会干啥,93,0,"['以后', '出现', '以前', '未来', '前卫', '现在', '第一个', '电视剧', '后续', '猪笼']","['以后 陪', '以后', '以后']",Deinstitutionalization of Marriage,Morality
Gansu,2023-2-1 20:34,促进人口，我真的万万没想到你用这招，绝,31,0,"['人口', '主播', '增加', '增长', '生命', '人口数量', '红利', '不择手段', '国家', '底线']","['发 道德 人口', '人口 事', '人口 拼']",Reproduction,Population Growth
Liaoning,2023-3-9 14:22,开放生育应该降低育儿成本，而不是降低道德标准。,3,1,"['降低', '成本', '生育率', '标准', '育儿', '提高', '出生率', '鼓励', '道德', '生育']","['想要 提高 出生率 应该 降低 育儿 成本 社会 压力 降低 道德 标准', '想要 提高 生育率 应该 降低 育儿 成本 社会 压力 降低 道德 底线', '提高 生育率 降低 育儿 成本 降低 道德 标准']",Reproduction,Population Growth
Zhejiang,2023-7-18 12:35,私生子转正了，小三更狂了,17,1,"['私生子', '私生', '合法化', '无辜', '外面', '合法', '教授', '遍地', '家产', '规定']","['私生子', '私生子 ', '问 私生子']",Deinstitutionalization of Marriage,Morality
Fujian,2023-2-1 20:20,未来会有很多孩子不知道爸爸是谁！很多男的不知道自己还有孩子！搞得像摩梭族一样,144,0,"['摩梭', '摩梭人', '泸沽湖', '湖南', '纳西族', '株洲', '去过', '云南', '民族', '不愧']","['没有 摩梭 族 摩梭人', '摩梭 族 摩梭人', '摩梭 族 摩梭人']",Deinstitutionalization of Marriage,Marriage
Anhui,2023-2-20 8:44,这不好事吗？好像有老公那些个就被承担了一样这下不妥妥的没有男人“我为了你吧啦吧啦吧啦”,193,1,"['负责', '不负责任', '担当', '责任', '责任心', '男人', '责任感', '到处', '承担责任', '最大']","['男 负 负责', '真 不用 男 负责', '男人 不用 负责']",Individualism,Traditional Family
Zhejiang,2023-8-23 0:42,我不想结婚就是不想要孩子,45,0,"['不想', '想要', '结婚', '想生', '孩子', '只想', '生个', '生小孩', '不生', '丁克']","['结婚 不想 生 孩子', '结婚 不想 生 孩子', '想 结婚 不想 生 孩子']",Deinstitutionalization of Marriage,Parenting Value
Liaoning,2023-7-4 23:08,挺好的。,146,0,"['整挺', '看上去', '画像', '相欠', '互不', '相当', '回事', '其实', '公平', '请问']","['挺 公平', '相当', '画像 挺']",Individualism,Gender Equality
Sichuan,2024-6-12 14:13,为自己买单，苦了累了自己奄,27,0,"['选择', '成年人', '负责', '决定', '抱怨', '承担', '后悔', '买单', '承受', '自律']","['选择', '选择 真', '选择 怨']",Financial Cost,Wealth
Jiangsu,2023-7-17 21:45,难道不觉得羞耻吗？还宣传,91,1,"['宣传', '新闻', '没看', '这种', '值得', '报道', '垃圾', '营销', '媒体', '宣扬']","['这种 应该 宣传', '现在 宣传', '宣传']",Deinstitutionalization of Marriage,Morality
Guangdong,2024-6-11 12:39,全是好处啊,24,0,"['全是', '好处', '不全是', '这全', '全都', '妈呀', '感觉', '竟然', '我天', '尽说']","['全是 好处', '全是 好处', '全是 好处']",Individualism,Diversity
Guangdong,2024-5-11 12:23,出去不用保镖吗？,140,0,"['真不错', '房子', '猪笼', '古代', '动物', '人贩子', '卖不出去', '诚意金', '羊少', '山西']","['真不错', '真不错', '住 房子 真不错']",Deinstitutionalization of Marriage,Morality
Hubei,2023-7-18 8:17,三小姐的福音,25,1,"['姐姐', '姐妹', '妹妹', '弟弟', '加油', '勇敢', '星星', '小姐姐', '双胞胎', '兄弟']","['棒 姐姐', '姐姐 姐姐 ʚ • ͈ ˽ • ͈ ི ྀ ɞ 想', '姐姐']",Individualism,Gender Equality
Yunnan,2023-7-18 18:03,我原来生了宝宝不知道领，辞职五年多，可以补领吗？,42,0,"['津贴', '生育', '社保', '补贴', '听说', '能领', '告诉', '交了', '领到', '工作']","['生育 津贴', '生育 津贴', '生育 津贴 领']",Deinstitutionalization of Marriage,Legislation
Jiangsu,2023-2-19 19:16,婚内的不给你精神爆击就不错了,143,1,"['家暴', '故意伤害', '纠纷', '领证', '挨打', '打死', '打人', '家庭', '坐牢', '打架']","['领证 家暴 算 故意伤害 领证 家庭 纠纷', '额 嫁 家暴 带 孩子', '领证 家暴 太']",Deinstitutionalization of Marriage,Legislation
Henan,2023-2-2 13:56,怎么感觉不道德呢！,100,1,"['道德', '伦理道德', '伦理', '沦丧', '缺德', '违背', '不道德', '这是', '人伦', '讲道德']","['这是 进步 道德 沦丧', '这是 道德 沦丧', '这是 道德 沦丧']",Deinstitutionalization of Marriage,Morality
Chongqing,2024-6-11 11:29,不领证女方被打，男方要遭殃，领了证女方被挨打那就只能默默忍受,143,0,"['家暴', '故意伤害', '纠纷', '领证', '挨打', '打死', '打人', '家庭', '坐牢', '打架']","['领证 家暴 算 故意伤害 领证 家庭 纠纷', '额 嫁 家暴 带 孩子', '领证 家暴 太']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-7-17 19:53,这在古代是要浸猪笼的,140,1,"['真不错', '房子', '猪笼', '古代', '动物', '人贩子', '卖不出去', '诚意金', '羊少', '山西']","['真不错', '真不错', '住 房子 真不错']",Deinstitutionalization of Marriage,Morality
Jiangsu,2023-7-18 9:05,这不是在毁三观吗为了生育率底线都要不要了,142,1,"['三生', '三个', '鼓励', '三观', '三宝', '我生', '守规矩', '孩子', '三儿', '老三']","['三生 孩子', '三生 孩子', '三生 孩子']",Deinstitutionalization of Marriage,Parenting Value
Guangdong,2023-7-26 9:02,国内不允许，必须要结婚证。 那种私立医院又很贵,82,0,"['医院', '出生证明', '医学', '准生证', '结婚证', '出生证', '证明', '出生', '建档', '签字']","['没有 结婚证 医院 出生证明', '没有 结婚证 医院 开 出生证明', '想 问 没有 结婚证 医院 出 出生证明']",Deinstitutionalization of Marriage,Legislation
Xinjiang,2022-11-11 18:58,这会不会导致几十年后有，一批老年男人到处找自己年轻时的女友要求跟她的孩子做亲子鉴定，为自己的养老找保障呀？,34,1,"['通透', '叔叔', '安全带', '老二', '老大', '年轻', '光宗耀祖', '35', '年龄', '30']","['哄 完 老大 哄 老二', '喜欢 叔叔 活 真 通透 真的 劝', '太 喜欢 叔叔 通透']",Individualism,Diversity
Heilongjiang,2023-11-28 9:50,好漂亮啊,112,0,"['漂亮', '美女', '好看', '老板', '颜值', '美好', '太漂亮', '这颜值', '很漂亮', '美丽']","['漂亮', '漂亮', '漂亮']",Individualism,Diversity
Jiangsu,2024-6-14 21:20,越努力越幸运,119,0,"['幸福', '祝福', '幸运', '吉祥', '复合', '快乐', '眼泪', '希望', '祝你幸福', '越到']","['幸福', '幸福', '祝 幸福']",Individualism,Diversity
Jiangsu,2023-7-4 23:54,应该不是在国内吧,163,0,"['国内', '外国', '国外', '崇洋媚外', '老外', '中国', '外国人', '西方', '媚外', '外国货']","['崇洋媚外', '崇洋媚外', '外国 崇洋媚外']",Individualism,Traditional Family
Jiangsu,2023-8-23 23:18,对于孩子不公平，父亲角色缺失。,5,0,"['爸爸', '父亲', '父爱', '长大', '没有', '缺失', '成长', '家庭', '完整', '孩子']","['没有 爸爸 孩子', '孩子 没有 爸爸 没有 父爱 完整', '没有 父爱 没有 父亲']",Individualism,Traditional Family
Hubei,2024-2-14 20:05,在国外做的嘛，国内能不能做呀,163,0,"['国内', '外国', '国外', '崇洋媚外', '老外', '中国', '外国人', '西方', '媚外', '外国货']","['崇洋媚外', '崇洋媚外', '外国 崇洋媚外']",Individualism,Traditional Family
Guangxi,2023-2-2 0:30,这个专家外面肯定有很多个吧,7,1,"['专家', '查查', '建议', '进步', '这位', '教授', '私生子', '是不是', '估计', '外面']","['专家', '搞 专家', '专家 住 帮']",Deinstitutionalization of Marriage,Morality
Yunnan,2023-8-23 13:46,泰裤辣,49,0,"['打字', '复制', '宝宝', '泰裤', '不想', '抵制', '吓死', '啊啊啊', '音乐', '可怕']","['音乐 吓死人', '吓死', '吓死']",Deinstitutionalization of Marriage,Morality
Henan,2023-3-8 10:36,偷生的 没有准生证怎么办,74,1,"['准生证', '东西', '现在', '办理', '流掉', '不准', '需要', '咋个', '办不到', '出生证']","['准生证', '准生证', '准生证']",Deinstitutionalization of Marriage,Legislation
Guangdong,2023-3-6 20:19,好羡慕她,122,0,"['羡慕', '好羡慕', '自豪', '炫耀', '实名', '慕了', '健身', '天呐', '骄傲', '佩服']","['真 羡慕', '羡慕', '羡慕']",Individualism,Diversity
Anhui,2024-6-12 1:29,好处这么多,103,0,"['好处', '六个', '那就好', '感觉', 'li', '六大', 'get', '稀罕', '好点', '一分']","['好处', '好处', '好处']",Individualism,Diversity
Hebei,2023-7-18 7:36,礼义廉耻都没有唉道德底线都没有我好像看到头了,104,1,"['底线', '道德', '毫无', '降低', '宣传', '上位', '没有', '下限', '突破', '标准']","['道德 底线 没', '没 道德 底线', '没 道德 没 底线']",Deinstitutionalization of Marriage,Morality
Guizhou,2023-7-18 11:37,国家政策越来越人性化了,88,0,"['政策', '国家', '出台', '这项', '民政局', '人贩子', '放宽', '放宽政策', '人性化', '嘲讽']","['政策', '政策 定', '政策']",Deinstitutionalization of Marriage,Legislation
Anhui,2023-7-18 17:33,所以以后结不结婚都可以给孩子上户口了，也挺好的，这样不想结婚的女孩子就可以独自美丽了,8,0,"['户口', '女方', '户口本', '结婚证', '男方', '落户', '上户', '小孩', '离婚', '前夫']","['没有 领 结婚证 孩子 户口', '错 孩子 生 户口', '户口 女方 没有 结婚证 小孩 迁 户口']",Deinstitutionalization of Marriage,Legislation
Fujian,2023-2-1 20:17,结婚成了绊脚石,57,0,"['结婚', '意义', '干嘛', '结个', '结了婚', '婚姻', '新型', '走婚', '何在', '最好']","['结婚 行', '结婚', '结婚']",Deinstitutionalization of Marriage,Marriage
Shanxi,2023-2-15 14:58,假如女人生了俩，男人在外面又有了孩子，这婚是离还是不离？,29,0,"['结婚', '生子', '孩子', '不生', '不用', '生娃', '随便', '生个', '不要', '婚姻']","['结婚 养 孩子', '结婚 孩子', '结婚 生 孩子']",Deinstitutionalization of Marriage,Parenting Value
Henan,2024-6-14 0:51,不是国内做的吧，咱国家做还要结婚证,90,0,"['结婚证', '意义', '婚礼', '证明', '一张', '只能', '没用', '张纸', '干嘛', '捆住']","['想 结婚证', '结婚证', '补 结婚证']",Deinstitutionalization of Marriage,Marriage
Zhejiang,2023-7-18 10:31,小红书抖音分部是吧,113,0,"['抖音', '音里', '音领', '我刷', '比划', '这抖音', '刷抖音', '推荐', '音刷', '监控']","['懂 抖音', '抖音 推', '抖音 懂']",Deinstitutionalization of Marriage,Morality
Shandong,2023-7-17 22:08,小三都能名正言顺的生孩子了，而且还有补贴！,54,1,"['小三', '第三者', '原配', '破坏', '继承权', '私生子', '当小三', '三生', '歧视', '小三小四']","['小三 孩子 没有 继承权', '小三 孩子 尼', '… 小三 孩子']",Deinstitutionalization of Marriage,Morality
Sichuan,2024-6-11 14:08,妈呀全是好处啊,24,0,"['全是', '好处', '不全是', '这全', '全都', '妈呀', '感觉', '竟然', '我天', '尽说']","['全是 好处', '全是 好处', '全是 好处']",Individualism,Diversity
Guangdong,2024-6-8 9:17,现在中国经济越来越好了，建议女性都去父留子，以后赚到钱请保姆，过上自由自在的生活。去父留子之后你更容易赚到钱！,1,0,"['父留子', '留子', '去母', '父留', '母留子', '去夫', '哈哈哈', '经济', '支持', '想法']","['笑 死 父留子', '“ 父留子 ”', '“ 父留子 ”']",Individualism,Individualism
Anhui,2024-4-17 19:48,天哪，又怀了。,4,0,"['严浩翔', '伟大', '推恩', '开绿灯', '林子', '暧昧', '泰裤', '操作', '黄色', '裂开']","['严浩翔 以后 不能 捐 一个', '严浩翔 捐 一个', '严浩翔 捐 一个']",Financial Cost,Healthcare
Hunan,2024-6-13 22:43,我们正式进入有孩子队当中,118,0,"['两个', '加油', '可爱', '宝贝', '坚强', '幸福', '长大', '先苦后甜', '快乐', '宝宝']","['两个 宝宝 可爱', '两个 孩子 可爱', '加油 两个 宝宝']",Individualism,Diversity
Shandong,2024-6-16 9:15,老王健林早就把未来的工资给支付好了，现在只能给一块钱，就算分财产也分不到什么,110,0,"['王思聪', '王家', '起诉', '王健林', '刚刷', '王思聪生', '诉讼', '老王', '虚假', '严惩不贷']","['王思聪 :', '王思聪', '王思聪']",Deinstitutionalization of Marriage,Morality
Henan,2024-5-22 19:36,是不是非法,64,0,"['违法', '合法', '法律', '娱乐圈', '普法', '明星', '合法化', '非法', '犯法', '民法典']","['合法', '违法 相信 法律 违法 不敢', '以前 违法 事 现在 受 法律 保护']",Deinstitutionalization of Marriage,Legislation
Hebei,2024-6-11 18:28,六个好处！,103,0,"['好处', '六个', '那就好', '感觉', 'li', '六大', 'get', '稀罕', '好点', '一分']","['好处', '好处', '好处']",Individualism,Diversity
Inner Mongolia,2024-4-27 15:14,太可怕了,49,1,"['打字', '复制', '宝宝', '泰裤', '不想', '抵制', '吓死', '啊啊啊', '音乐', '可怕']","['音乐 吓死人', '吓死', '吓死']",Deinstitutionalization of Marriage,Morality
Zhejiang,2023-7-18 8:52,好恶心，严查提出建议那个人,178,1,"['恶心', '变态', '真贱', '至极', '我来', '肮脏', '尼玛', '败坏', '良心', '颠覆']","['恶心', '恶心', '真 恶心']",Deinstitutionalization of Marriage,Morality
Guizhou,2024-4-10 9:50,老板是卧蚕太好看了,112,0,"['漂亮', '美女', '好看', '老板', '颜值', '美好', '太漂亮', '这颜值', '很漂亮', '美丽']","['漂亮', '漂亮', '漂亮']",Individualism,Diversity
Henan,2023-2-19 19:04,大老爷们怎么高兴怎么来,34,0,"['通透', '叔叔', '安全带', '老二', '老大', '年轻', '光宗耀祖', '35', '年龄', '30']","['哄 完 老大 哄 老二', '喜欢 叔叔 活 真 通透 真的 劝', '太 喜欢 叔叔 通透']",Individualism,Diversity
Jiangsu,2023-2-14 14:18,亲戚带的娃，母亲残疾人！已经5岁了，没出生证，一直上不了户，该怎么申请！谢谢警官,41,0,"['出生证明', '出生证', '身份证', '户口本', '证明', '户口', '派出所', '办理', '需要', '补办']","['孩子 没有 出生证明 办 户口', '没有 出生证明 户口', '没有 出生证明 户口']",Deinstitutionalization of Marriage,Legislation
Guangdong,2024-6-11 12:55,领了也没有代价,69,0,"['广东', '不领', '领到', '没领', '广西', '领了', '别领', '能领', '再领', '免费']","['广东', '没有 广东', '广东 免费']",Deinstitutionalization of Marriage,Legislation
Sichuan,2023-11-26 16:29,我是单亲妈妈，我只想做酷酷的妈妈！,10,0,"['单亲', '单亲家庭', '妈妈', '单身', '双亲', '家庭', '成长', '爸爸', '心理', '父爱']","['支持 单亲 妈妈', '单亲 妈妈', '喊 单亲 妈妈']",Individualism,Traditional Family
Guangdong,2023-7-2 19:12,没有结婚证，孩子出生证有父亲和母亲名字，上到女方户口的话，要不要双方户口和身份证 还是提供女方的就可以,41,0,"['出生证明', '出生证', '身份证', '户口本', '证明', '户口', '派出所', '办理', '需要', '补办']","['孩子 没有 出生证明 办 户口', '没有 出生证明 户口', '没有 出生证明 户口']",Deinstitutionalization of Marriage,Legislation
Gansu,2023-2-19 19:45,那也是自己造成的，就得公里承担！,27,0,"['选择', '成年人', '负责', '决定', '抱怨', '承担', '后悔', '买单', '承受', '自律']","['选择', '选择 真', '选择 怨']",Financial Cost,Wealth
Xinjiang,2022-10-17 18:59,以后这样的多了,93,0,"['以后', '出现', '以前', '未来', '前卫', '现在', '第一个', '电视剧', '后续', '猪笼']","['以后 陪', '以后', '以后']",Deinstitutionalization of Marriage,Morality
Hubei,2024-1-26 22:47,纯属放屁，一旦放开，中国要乱套，你能不能不要瞎扯,2,1,"['道理', '理解', '自找', '世界', '赞同', '明白', '同情', '清醒', '太对', '终于']","['理解', '理解', '理解']",Individualism,Diversity
Guangdong,2024-1-3 21:40,看完都没看到她眨眼,58,0,"['真的假', '看到', '不早', '知道', '真的', '两点', '早点', '晚上', '原来', '太晚']","['看到', '看到 没有', '看到 没有']",Deinstitutionalization of Marriage,Morality
Jilin,2023-3-9 1:07,你说不公平就不公平？那岂不是对正常结婚的人生的孩子更不公平……,166,1,"['原配', '侮辱', '公平', '妻子', '保姆', '权益', '夫妻', '中国', '法律', '无辜']","['原配 3', '原配', '原配 侮辱']",Deinstitutionalization of Marriage,Morality
Guizhou,2023-7-14 22:28,你说话可真实在呀,2,0,"['道理', '理解', '自找', '世界', '赞同', '明白', '同情', '清醒', '太对', '终于']","['理解', '理解', '理解']",Individualism,Diversity
Fujian,2023-1-31 18:55,以后如果父亲犯罪了，婚生子女及后代会受影响，但非婚生子却没事，我不知道这公平吗？这将助长小三破坏别人家的婚姻,174,1,"['影响', '犯罪', '考公', '政审', '犯事', '婚生子', '案底', '父亲', '当兵', '子女']","['三生 孩子 原配 孩子 爹 犯罪 影响 原配 孩子 影响 私生子 以后 结婚 恋爱 生子 就行', '父亲 犯罪 原配 孩子 受 影响 孩子 受 孩子 继承权', '没有 考虑 原配 父亲 犯罪 原配 孩子 影响 不能 考公 私生子 考公 不说']",Deinstitutionalization of Marriage,Legislation
Anhui,2024-1-28 19:45,你干了我一辈子想干的事，你是我的英雄,123,0,"['梦想', '理想', '实现', '愿望', '赢家', '生活', '人生', '梦见', '现实', 'dream']","['梦想 实现 法', '梦想 实现', '梦想 实现']",Individualism,Diversity
Guangdong,2023-10-2 15:12,想做单亲爸爸怎么办,10,0,"['单亲', '单亲家庭', '妈妈', '单身', '双亲', '家庭', '成长', '爸爸', '心理', '父爱']","['支持 单亲 妈妈', '单亲 妈妈', '喊 单亲 妈妈']",Individualism,Traditional Family
Hunan,2024-6-12 17:07,他肯定知道啊。为什么不做？因为他自己都不确定谁的,58,0,"['真的假', '看到', '不早', '知道', '真的', '两点', '早点', '晚上', '原来', '太晚']","['看到', '看到 没有', '看到 没有']",Deinstitutionalization of Marriage,Morality
Guangdong,2023-2-1 19:36,有什么关系，一根才200,0,0,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Guangdong,2023-2-6 0:09,那不是结婚证，那是保姆证，,15,0,"['产检', '自费', '免费', '老公', '产检费', '精神', '医院', '好像', '空缺', '费用']","['老公 产检 自费', '老公 产检 自费', '老公 产检 自费']",Financial Cost,Healthcare
Jiangsu,2024-6-8 11:06,天呐，看着从出生到现在，好乖乖,118,0,"['两个', '加油', '可爱', '宝贝', '坚强', '幸福', '长大', '先苦后甜', '快乐', '宝宝']","['两个 宝宝 可爱', '两个 孩子 可爱', '加油 两个 宝宝']",Individualism,Diversity
Shaanxi,2024-6-11 12:39,都是好处,103,0,"['好处', '六个', '那就好', '感觉', 'li', '六大', 'get', '稀罕', '好点', '一分']","['好处', '好处', '好处']",Individualism,Diversity
Shandong,2024-6-7 20:31,关键是现在的婚姻，除了孩子，没有存在的意义。,29,0,"['结婚', '生子', '孩子', '不生', '不用', '生娃', '随便', '生个', '不要', '婚姻']","['结婚 养 孩子', '结婚 孩子', '结婚 生 孩子']",Deinstitutionalization of Marriage,Parenting Value
Shandong,2024-1-31 14:36,直接姐姐说星星选妈妈 还有个弟弟 弟弟真的要来了吗,25,0,"['姐姐', '姐妹', '妹妹', '弟弟', '加油', '勇敢', '星星', '小姐姐', '双胞胎', '兄弟']","['棒 姐姐', '姐姐 姐姐 ʚ • ͈ ˽ • ͈ ི ྀ ɞ 想', '姐姐']",Individualism,Gender Equality
Beijing,2023-2-2 17:33,女的可以男的没保障了,13,0,"['男人', '男性', '女人', '男生', '男女平等', '光棍', '女生', '女孩', '干嘛', '支持']","['男人 死', '男人 真 没', '没 男人 死']",Individualism,Gender Equality
Shandong,2023-2-1 21:18,主体就是“生”,145,0,"['不生', '你生', '要生', '没生', '生日快乐', '想生', '我生', '理论', '快生', '生生生']","['想生', '酸去 觉得 没生 或许 看不惯 疯言疯语 起来', '爱 生 生 观众 旁观者 磕着 瓜子 看着 世界']",Deinstitutionalization of Marriage,Parenting Value
Guangdong,2023-6-29 1:29,她好勇敢好厉害,83,0,"['勇敢', '勇敢的人', '勇气', '享受', '世界', '佩服', '这句', '勇气可嘉', '你好', '好勇']","['勇敢', '勇敢', '勇敢']",Individualism,Diversity
Fujian,2024-6-16 1:53,勇敢的人先享受视觉,83,0,"['勇敢', '勇敢的人', '勇气', '享受', '世界', '佩服', '这句', '勇气可嘉', '你好', '好勇']","['勇敢', '勇敢', '勇敢']",Individualism,Diversity
Guangdong,2023-3-1 9:50,好家伙，刚刚我一查广东也是 结婚结你₥฿了个婚,69,0,"['广东', '不领', '领到', '没领', '广西', '领了', '别领', '能领', '再领', '免费']","['广东', '没有 广东', '广东 免费']",Deinstitutionalization of Marriage,Legislation
Shandong,2024-6-12 1:37,难怪男的那么想结婚呢，原来打了不算故意伤害,143,0,"['家暴', '故意伤害', '纠纷', '领证', '挨打', '打死', '打人', '家庭', '坐牢', '打架']","['领证 家暴 算 故意伤害 领证 家庭 纠纷', '额 嫁 家暴 带 孩子', '领证 家暴 太']",Deinstitutionalization of Marriage,Legislation
Guangdong,2024-5-22 22:36,我还没领，所以我不打算领了,69,0,"['广东', '不领', '领到', '没领', '广西', '领了', '别领', '能领', '再领', '免费']","['广东', '没有 广东', '广东 免费']",Deinstitutionalization of Marriage,Legislation
Shandong,2023-2-2 9:49,他不是私生子就是私生子他爹或者姥爷,17,1,"['私生子', '私生', '合法化', '无辜', '外面', '合法', '教授', '遍地', '家产', '规定']","['私生子', '私生子 ', '问 私生子']",Deinstitutionalization of Marriage,Morality
Zhejiang,2023-2-19 18:10,如果能从来，我就要去父留子，,14,0,"['父留子', '留子', '去夫', 'yyds', 'diu', '弃夫', 'you', '舍父', '送子观音', '杀父']","['父留子', '父留子', '父留子']",Individualism,Individualism
Hainan,2023-2-23 9:07,太美了,112,0,"['漂亮', '美女', '好看', '老板', '颜值', '美好', '太漂亮', '这颜值', '很漂亮', '美丽']","['漂亮', '漂亮', '漂亮']",Individualism,Diversity
Sichuan,2023-2-20 9:29,一个已婚孕妇孕检自费，独行，所有风雨自己承担，还要承担来自婚姻的压力。扛不住自我救赎了,15,0,"['产检', '自费', '免费', '老公', '产检费', '精神', '医院', '好像', '空缺', '费用']","['老公 产检 自费', '老公 产检 自费', '老公 产检 自费']",Financial Cost,Healthcare
Guangxi,2023-6-29 0:50,提高生育率是好事,3,0,"['降低', '成本', '生育率', '标准', '育儿', '提高', '出生率', '鼓励', '道德', '生育']","['想要 提高 出生率 应该 降低 育儿 成本 社会 压力 降低 道德 标准', '想要 提高 生育率 应该 降低 育儿 成本 社会 压力 降低 道德 底线', '提高 生育率 降低 育儿 成本 降低 道德 标准']",Reproduction,Population Growth
Sichuan,2024-6-8 13:33,我总觉得她大女儿的眼神状态像我女儿，特别善良，跟同学在一起永远让着别人,66,0,"['女儿', '儿子', '闺女', '生个', '两个', '以后', '将来', '02', '儿女', '三儿']","['想 女儿 以后 结婚 生 孩子 想', '想 女儿', '女儿 想']",Reproduction,Carry on the Family Line
Jilin,2023-2-4 23:41,我支持,30,0,"['支持', '唐唐', '非常', '赞成', '大力支持', '透支', '认可', '能力', '博士', '双手']","['支持', '支持', '支持']",Individualism,Diversity
Sichuan,2023-2-11 7:50,这样只能让更多人不婚不育,139,1,"['未婚', '不婚', '未婚先孕', '不育', '结婚', '就生', '结过婚', '保平安', '没生', '先育']","['现在 很多 没有 结婚 就生 孩子', '妈妈 没 结婚 就生 网上 好多 可怕 爸爸 感觉 没 爸爸 快乐 知道', '未婚 妈妈 小孩 已经 8 岁']",Deinstitutionalization of Marriage,Marriage
Sichuan,2024-6-12 9:17,男方不承认是自己的孩子，拒绝做亲子鉴定，导致完全不给抚养费的坏处你是一点不说啊，普法还是讲全面点吧，有的人真的会因为一知半解而害了自己,157,0,"['亲子鉴定', '拒绝', '男方', '鉴定', '亲子关系', '证据', '要求', '证明', '法院', '判定']","['男方 要求 亲子鉴定 女方 拒绝', '男方 亲子鉴定', '男方 亲子鉴定']",Deinstitutionalization of Marriage,Legislation
Guangdong,2024-6-11 1:17,可昨整全优点,37,0,"['缺点', '优点', '说完', '电子版', '全是', '不说', '没有', '承诺', '我勒个', '这全']","['缺点 优点', '全 优点 没 缺点', '缺点 没有 缺点 优点']",Individualism,Diversity
Hunan,2023-7-18 12:00,为什么不干脆让男人一夫多妻？,16,1,"['三妻四妾', '一夫多妻', '有钱人', '富人', '富豪', '一妻多夫', '穷人', '纳妾', '老婆', '变相']","['以后 三妻四妾', '三妻四妾', '三妻四妾']",Deinstitutionalization of Marriage,Morality
Shanghai,2024-6-12 15:12,根本不像没结婚的,57,0,"['结婚', '意义', '干嘛', '结个', '结了婚', '婚姻', '新型', '走婚', '何在', '最好']","['结婚 行', '结婚', '结婚']",Deinstitutionalization of Marriage,Marriage
Jiangsu,2023-6-29 0:57,想问一下，国内有这个服务吗？,36,0,"['问题', '电话', '解决', '咨询', '说话', '试试', '机构', '回复', '私信', '联系']","['没有 解决 根本 问题', '电话 告诉 想 打电话 咨询 一下', '电话 联系 一下']",Financial Cost,Healthcare
Jiangsu,2023-2-2 17:26,婴熊不问出处,155,0,"['爸爸', '回答', '他爸', '父亲', '亲生', '孩他', '孩子', '长大', '问起', '幼儿园']","['孩子 爸爸', '孩子 爸爸', '孩子 爸爸']",Individualism,Traditional Family
Sichuan,2023-2-17 16:43,这个政策看来会基本上发生在00了,88,0,"['政策', '国家', '出台', '这项', '民政局', '人贩子', '放宽', '放宽政策', '人性化', '嘲讽']","['政策', '政策 定', '政策']",Deinstitutionalization of Marriage,Legislation
Henan,2023-8-31 23:26,有钱人,0,0,"['有钱', '有钱人', '攒钱', '努力', '赚钱', '能力', '交钱', '价格', '挣钱', '经济']","['有钱 钱 干', '有钱', '有钱 真']",Financial Cost,Wealth
Shandong,2023-7-18 6:04,道德沦丧 恬不知耻的返祖现象,100,1,"['道德', '伦理道德', '伦理', '沦丧', '缺德', '违背', '不道德', '这是', '人伦', '讲道德']","['这是 进步 道德 沦丧', '这是 道德 沦丧', '这是 道德 沦丧']",Deinstitutionalization of Marriage,Morality
Hubei,2023-3-15 11:09,这个政策给女性一种尊严,117,0,"['生育权', '女性', '权利', '自由', '生育', '沦为', '权益', '女权', '剥夺', '妇女']","['支持 女性 单身 生育权 生育权 本来 女性 权利 结婚 拥有 需要 允许', '生育权 自由', '女性 生育权 ?']",Individualism,Gender Equality
Shanxi,2023-2-18 16:53,结婚的意义是什么,57,0,"['结婚', '意义', '干嘛', '结个', '结了婚', '婚姻', '新型', '走婚', '何在', '最好']","['结婚 行', '结婚', '结婚']",Deinstitutionalization of Marriage,Marriage
Guangdong,2024-6-7 23:24,去父留子同意呀，不用掉入婚姻这个坑，不用看公婆姑子脸色,1,0,"['父留子', '留子', '去母', '父留', '母留子', '去夫', '哈哈哈', '经济', '支持', '想法']","['笑 死 父留子', '“ 父留子 ”', '“ 父留子 ”']",Individualism,Individualism
Shaanxi,2024-6-10 14:46,好漂亮的,112,0,"['漂亮', '美女', '好看', '老板', '颜值', '美好', '太漂亮', '这颜值', '很漂亮', '美丽']","['漂亮', '漂亮', '漂亮']",Individualism,Diversity
Shanxi,2023-2-1 20:40,出生率低是因为育儿成本太高，不要为了提高出生率降低道德标准。,3,1,"['降低', '成本', '生育率', '标准', '育儿', '提高', '出生率', '鼓励', '道德', '生育']","['想要 提高 出生率 应该 降低 育儿 成本 社会 压力 降低 道德 标准', '想要 提高 生育率 应该 降低 育儿 成本 社会 压力 降低 道德 底线', '提高 生育率 降低 育儿 成本 降低 道德 标准']",Reproduction,Population Growth
